employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,L,L,L,OFF,OFF,OFF,OFF,OFF,d1,L,L,L,OFF,OFF,d1,d1,L,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,d1,d1
B,d2,OFF,OFF,OFF,E,E,E,d2,d2,OFF,OFF,OFF,E,d2,OFF,OFF,E,E,L,OFF,OFF,E,E,d2,L,L,OFF,OFF
C,d1,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,OFF,OFF,E,E,E,d1,d1,OFF,OFF,L,L,OFF,OFF,OFF,L,L
D,OFF,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF,OFF,OFF,OFF,d1,d1,d2,d1,L,OFF,OFF,d2,d1,d1,OFF,OFF,d1,L
E,OFF,E,E,E,E,OFF,OFF,E,L,L,L,L,OFF,OFF,E,E,E,OFF,OFF,L,L,OFF,OFF,OFF,E,E,E,E
F,OFF,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF,OFF,d1,d1,d1,d1,d1,OFF,OFF,OFF,OFF,d1,L,L,L,L,OFF,OFF
G,L,OFF,OFF,OFF,d2,d2,d2,d2,N,OFF,OFF,OFF,OFF,OFF,d2,d2,d2,d2,N,OFF,OFF,L,N,OFF,OFF,OFF,L,L
H,d2,d2,d2,d1,OFF,OFF,OFF,d1,d1,d2,OFF,OFF,d2,d1,d2,OFF,OFF,d2,d1,d1,d2,OFF,OFF,d2,d1,d1,OFF,OFF
I,OFF,OFF,d1,d1,d1,OFF,OFF,OFF,E,d1,N,N,OFF,OFF,E,E,OFF,OFF,E,N,N,OFF,OFF,E,E,d1,d1,d1
J,OFF,L,N,OFF,OFF,d1,d1,L,OFF,OFF,d1,d1,OFF,OFF,N,N,N,OFF,OFF,d1,L,OFF,OFF,d1,L,N,OFF,OFF
K,OFF,d1,d1,OFF,OFF,OFF,OFF,OFF,d1,d1,d1,d1,OFF,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF,d1,d1,d1,d1,d1
L,E,d2,d2,d2,d2,OFF,OFF,OFF,OFF,OFF,E,E,OFF,OFF,L,L,N,OFF,OFF,d2,d2,d2,d2,d2,OFF,OFF,E,N
M,L,L,L,OFF,OFF,OFF,OFF,E,E,E,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,E,L,OFF,OFF,OFF,OFF
N,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,L
O,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,E,E,OFF,OFF,E,E,E,OFF,OFF,d2,d2,d2,d2,d2,OFF,OFF,d2,d2
P,OFF,OFF,OFF,L,L,OFF,OFF,E,E,E,d2,d2,OFF,OFF,d2,d2,OFF,OFF,d1,d1,d1,d1,d2,OFF,OFF,E,E,E
Q,E,E,E,E,E,OFF,OFF,OFF,d2,d1,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,d2,d2,OFF,OFF,E,E
R,d1,d2,d2,d1,OFF,OFF,OFF,E,E,OFF,OFF,E,d1,d2,d1,d2,OFF,OFF,E,E,E,d1,d1,OFF,OFF,OFF,OFF,OFF
S,d2,N,OFF,OFF,d1,L,L,L,L,OFF,OFF,OFF,d2,d1,d1,d1,d1,OFF,OFF,OFF,OFF,E,d1,d1,d2,d1,OFF,OFF
T,L,L,OFF,OFF,OFF,d2,d2,OFF,OFF,OFF,d2,d2,L,L,L,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF
U,d2,OFF,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,d2,d2,d2,d2,d2,OFF,OFF,E,E,E,d2,d2
V,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,d1,d2,OFF,OFF,d1,d1,d2,d1,d1,OFF,OFF,d1,d2,L,OFF,OFF,E,E
W,N,OFF,OFF,N,N,N,N,OFF,OFF,OFF,OFF,OFF,E,d2,d2,OFF,OFF,d2,d1,OFF,OFF,d2,d1,d2,d1,d1,OFF,OFF
X,OFF,E,d1,d1,d1,OFF,OFF,E,E,E,OFF,OFF,E,d1,OFF,OFF,E,E,E,E,d1,OFF,OFF,OFF,E,E,OFF,OFF
Y,E,d2,d2,OFF,OFF,OFF,OFF,d2,d2,d1,L,L,OFF,OFF,E,d2,OFF,OFF,OFF,L,L,L,OFF,OFF,d2,d2,d1,d2
Z,E,OFF,OFF,OFF,E,E,E,d2,N,OFF,OFF,OFF,OFF,OFF,E,E,E,E,d2,OFF,OFF,L,N,OFF,OFF,d2,d1,d1
AA,d1,d1,OFF,OFF,d1,d1,d1,OFF,OFF,d1,d1,d1,d1,L,OFF,OFF,d1,d1,d1,OFF,OFF,OFF,d1,L,L,L,OFF,OFF
AB,E,d1,d1,d2,d2,OFF,OFF,E,E,OFF,OFF,d1,d2,d2,OFF,OFF,d2,d2,d2,d2,d1,OFF,OFF,E,E,OFF,OFF,OFF
AC,L,N,N,OFF,OFF,E,E,d1,d1,N,OFF,OFF,OFF,OFF,L,L,OFF,OFF,OFF,d1,L,L,L,N,OFF,OFF,OFF,OFF
AD,OFF,OFF,E,d2,d2,OFF,OFF,OFF,E,d2,L,OFF,OFF,OFF,d2,d2,L,OFF,OFF,E,E,E,E,OFF,OFF,L,L,L
AE,OFF,d1,d1,L,OFF,OFF,OFF,d1,d2,d2,d2,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,d2,d2,d2,d2,d2
AF,E,E,E,E,OFF,OFF,OFF,OFF,E,E,d2,OFF,OFF,OFF,L,L,OFF,OFF,d2,d2,d2,d2,L,OFF,OFF,E,E,E
AG,E,E,E,E,E,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,E,E,OFF,OFF
AH,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,d2,d2,OFF,OFF,E,E,OFF,OFF,E,E,E,L,L,OFF,OFF,d2,d2,L
AI,OFF,d1,L,N,OFF,OFF,OFF,d1,d1,L,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,E,N,OFF,OFF
AJ,OFF,OFF,OFF,OFF,OFF,E,d1,d2,L,OFF,OFF,d2,d1,N,OFF,OFF,E,d1,d2,OFF,OFF,N,N,N,N,OFF,OFF,OFF
AK,d2,d2,OFF,OFF,OFF,d2,d2,d1,d2,OFF,OFF,E,E,E,OFF,OFF,d1,L,OFF,OFF,OFF,OFF,E,L,L,L,OFF,OFF
AL,d2,d2,d2,OFF,OFF,L,L,L,L,OFF,OFF,d1,d1,d1,N,OFF,OFF,L,L,OFF,OFF,d2,d2,OFF,OFF,OFF,OFF,OFF
AM,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,OFF,OFF,E,E,E
AN,OFF,OFF,OFF,E,d1,d2,d1,OFF,OFF,E,d1,L,L,L,OFF,OFF,OFF,E,E,OFF,OFF,E,E,E,E,d2,OFF,OFF
