employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
A,D,D,D,N,OFF,OFF,OFF,OFF,OFF,E,E,N,N,N,OFF,OFF,OFF,OFF,OFF,E,E,E,E,L,OFF,OFF,L,N,OFF,OFF,D,E,L,OFF,OFF,L,L,L,L,L,OFF,OFF
B,N,N,OFF,OFF,OFF,D,D,OFF,OFF,N,N,N,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,OFF,OFF,OFF
C,E,E,D,N,N,OFF,OFF,E,L,OFF,OFF,OFF,E,E,N,N,OFF,OFF,E,E,D,D,OFF,OFF,E,D,E,E,OFF,OFF,E,L,L,OFF,OFF,OFF,L,N,OFF,OFF,OFF,OFF
D,D,OFF,OFF,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,D,L,L,L,L,OFF,OFF,D,L,L,OFF,OFF,D,L,L,L,L,OFF,OFF
E,L,L,L,OFF,OFF,D,D,N,N,N,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,N,N,OFF,OFF,E,E,E,L,OFF,OFF,OFF,OFF,OFF,OFF
F,D,D,D,D,D,OFF,OFF,D,L,L,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,OFF,OFF,OFF,OFF,L,L,L,OFF,OFF,OFF,D,D,L,OFF,OFF,OFF,D,D,D
G,L,N,N,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,L,N,N,OFF,OFF,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,N,OFF,OFF,D,D,D,OFF,OFF,OFF,OFF
H,E,E,D,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,D,E,N,OFF,OFF,L,L,OFF,OFF,N,N,N,OFF,OFF,L,N,OFF,OFF,OFF,E,E,OFF,OFF,OFF,OFF,E,E,OFF
I,D,OFF,OFF,D,E,N,N,OFF,OFF,OFF,E,E,E,E,N,OFF,OFF,D,D,D,D,N,OFF,OFF,E,D,OFF,OFF,OFF,E,D,OFF,OFF,OFF,OFF,D,E,E,E,N,OFF,OFF
J,OFF,OFF,OFF,D,E,E,L,OFF,OFF,OFF,E,E,OFF,OFF,D,D,E,OFF,OFF,D,D,E,E,E,OFF,OFF,E,D,D,D,D,OFF,OFF,OFF,OFF,N,N,N,N,N,OFF,OFF
K,D,E,D,OFF,OFF,OFF,OFF,E,D,D,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,L,L,L,OFF,OFF,E,E,E,E,L,OFF,OFF,OFF,OFF,OFF,D,D,D,E,E,OFF
