employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
A,L,OFF,OFF,D,D,L,N,N,OFF,OFF,N,N,OFF,OFF,E,L,L,L,L,OFF,OFF,D,N,N,OFF,OFF,D,D,D,N,N,OFF,OFF,L,N,OFF,OFF,OFF,E,E,E,E,OFF,OFF,D,D,L,OFF,OFF,D,D,D,D,D,OFF,OFF
B,OFF,OFF,OFF,E,E,E,E,L,OFF,OFF,L,L,OFF,OFF,E,E,E,L,L,OFF,OFF,E,E,L,OFF,OFF,E,E,L,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,OFF,E,E,E,E,L,OFF,OFF,L,L,OFF,OFF,E,E,E
C,E,D,D,OFF,OFF,E,E,D,D,D,OFF,OFF,OFF,OFF,OFF,D,D,D,D,OFF,OFF,N,N,N,N,N,OFF,OFF,D,N,OFF,OFF,D,D,D,D,D,OFF,OFF,N,N,N,N,OFF,OFF,D,D,D,D,OFF,OFF,E,E,D,OFF,OFF
D,L,L,OFF,OFF,OFF,D,L,L,L,L,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,E,E,E,E,E,OFF,OFF,D,L,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,E,D,L,L,OFF,OFF,E,D,D,L,OFF,OFF,D,D,D,D,L
E,E,D,OFF,OFF,E,E,E,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,N,N,N,OFF,OFF,D,D,D,N,N,OFF,OFF,D,N,N,N,N,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,E,D,D,D,N,OFF,OFF
F,L,L,L,N,N,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,D,OFF,OFF,OFF,D,D,D,D,N,OFF,OFF,D,D,OFF,OFF,E,D,L,L,N,OFF,OFF,E,L,N,N,N,OFF,OFF,N,N,N,OFF,OFF,D,D
G,N,OFF,OFF,E,E,E,N,N,OFF,OFF,E,E,L,L,OFF,OFF,OFF,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,N,N,N,OFF,OFF,E,N,N,N,N,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,L,L,L
H,E,E,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,E,L,L,L,L,OFF,OFF,L,L,OFF,OFF
I,D,OFF,OFF,E,E,D,D,D,OFF,OFF,D,D,D,D,D,OFF,OFF,D,D,OFF,OFF,OFF,E,E,E,E,OFF,OFF,D,D,D,D,D,OFF,OFF,E,E,E,OFF,OFF,D,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E
J,E,D,D,L,L,OFF,OFF,D,L,L,OFF,OFF,E,E,E,E,D,OFF,OFF,OFF,OFF,OFF,E,L,OFF,OFF,E,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF
