schedule_file,instance,status,violations,coverage_differences
Instance1_schedule.csv,Instance1,feasible,0,3
Instance2_schedule.csv,Instance2,feasible,0,4
Instance3_schedule.csv,Instance3,feasible,0,6
Instance4_schedule.csv,Instance4,feasible,0,9
Instance5_schedule.csv,Instance5,feasible,0,10
Instance6_schedule.csv,Instance6,feasible,0,14
Instance7_schedule.csv,Instance7,feasible,0,8
Instance8_schedule.csv,Instance8,feasible,0,7
Instance9_schedule.csv,Instance9,feasible,0,4
Instance10_schedule.csv,Instance10,feasible,0,23
Instance11_schedule.csv,Instance11,feasible,0,34
Instance12_schedule.csv,Instance12,feasible,0,16
Instance13_schedule.csv,Instance13,feasible,0,261
Instance14_schedule.csv,Instance14,feasible,0,28
Instance15_schedule.csv,Instance15,feasible,0,71
Instance17_schedule.csv,Instance17,feasible,0,69
Instance18_schedule.csv,Instance18,feasible,0,58
