instance,employees,days,shifts,status,objective,solve_time_s
Instance1,8,14,1,Optimal,607.0,0.12
Instance2,14,14,2,Optimal,828.0,1.62
Instance3,20,14,3,Optimal,1001.0,2.53
Instance4,10,28,2,Optimal,1716.0,10.27
Instance5,16,28,2,Optimal,1143.0,28.91
Instance6,18,28,3,Optimal,1950.000000000052,18.41
Instance7,20,28,3,Optimal,1056.0,55.28
Instance8,30,28,4,Optimal,1303.0,1538.69
Instance9,36,28,4,Optimal,439.0,1540.68
Instance10,40,28,5,Optimal,4631.0,95.04
Instance11,50,28,6,Optimal,3443.0,53.51
Instance12,60,28,10,Optimal,4040.0,938.29
Instance13,120,28,18,Optimal,41056.0,1507.71
Instance14,32,42,4,Optimal,1287.0,1503.77
Instance15,45,42,6,Optimal,7816.0,1511.51
Instance16,20,56,3,Infeasible,,3068.80
Instance17,32,56,4,Optimal,5846.0,1507.05
Instance18,22,84,3,Optimal,4570.0,1502.41
Instance19,40,84,5,Infeasible,,3003.17
